가능,O,하면,O,사람,B-KEY,을,O,미워,B-KEY,하,O,지,O,않,B-KEY,으려고,B-KEY,하,O,아서,O,이,O,건,O,없,O,네요,O,.,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
아이,B-KEY,들,O,이,O,아파,B-KEY,서,O,급하,O,게,O,응급실,B-KEY,에,O,갔,O,을,O,때,O,진료,O,순서,B-KEY,를,O,바꿔,B-KEY,준,O,학생,B-KEY,이,O,있,O,었,O,어요,O,.,O,그,O,때,O,는,O,정신,O,이,O,없,O,었,O,지만,O,그,O,배려,O,로,O,놀랐,O,던,O,제,O,마음,O,도,O,진정,O,되,O,고,O,도움,O,을,O,받,O,았,O,어요,O,.,O
육아,B-KEY,로,O,힘들,O,때,O,아이,B-KEY,들,O,이,O,해,O,주,O,는,O,엄마,O,사랑,B-KEY,해요,O,.,O,가,O,가장,O,컸,O,었,O,죠,O,.,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
관계,B-KEY,에,O,는,O,노력,B-KEY,이,O,많이,O,필요,B-KEY,하,O,다는,O,점,O,이,O,요,O,.,O,서로,O,의,O,노력,B-KEY,이,O,있,O,어야,O,유지,O,가,O,가능,O,하,O,고,O,오래,O,가,O,는,O,것,O,같,O,아요,O,.,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
남편,B-KEY,과,O,연애,O,에서,O,부부,B-KEY,로,O,넘어,O,가,O,ㄹ,O,때,O,감정,O,보다,O,는,O,책임감,B-KEY,에,O,더,O,집중,O,하,O,기,O,로,O,결심,O,하,O,았,O,어요,O,.,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
요즘,O,자주,O,느껴요,O,.,O,제,O,체력,B-KEY,이,O,부족,B-KEY,해지,O,고,O,자주,O,아프,O,면서,O,혼자,O,회복,B-KEY,하는,O,시간,O,이,O,필수,O,적,O,이죠,O,.,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
내,O,의사,B-KEY,를,O,지속,O,하,O,여,O,확인,B-KEY,하,O,고,O,챙기,O,어,O,주,O,는,O,기간,O,이,O,필요,O,해요,O,.,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
너무,O,옛날,O,이,O,라,O,기억,O,이,O,안,O,나,O,요,O,.,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
가끔,O,하,O,굣,O,길,O,에,O,부모,B-KEY,님,O,이,O,마중,O,나,O,와,O,주,O,시,O,어서,O,간식,B-KEY,사,O,주,O,시,O,면,O,제일,O,행복,O,했,O,죠,O,.,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
딸,B-KEY,이,O,랑,O,아들,B-KEY,이,O,같,O,은,O,초등학교,B-KEY,를,O,나오,O,았,O,는데,O,운동회,B-KEY,에,O,학부모,O,로,O,참석,O,하,O,아서,O,아이,O,들,O,모습,O,볼,O,때,O,면,O,흐뭇,O,하,O,고,O,좋,O,았,O,어요,O,.,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
