친구,B-KEY,결혼식,B-KEY,에,O,참석,O,못,O,해,O,혼자,O,사진,B-KEY,속,O,친구,O,를,O,바라보,O,며,O,울,O,었,O,어요,O,.,O,,,,,,,,,,,,,,,,,,,,
늘,O,감사,O,하,O,는,O,마음,O,으로,O,하루,O,를,O,시작,O,하,O,고,O,마무리,O,했,O,어요,O,.,O,매일,O,아침,B-KEY,햇살,O,이,O,드,O,는,O,거실,B-KEY,에서,O,기도,B-KEY,를,O,한답니다,O,",",O
화장,B-KEY,하,O,며,O,체면,O,차리,O,던,O,내,O,모습,O,보다,O,지금,O,은,O,수건,B-KEY,두른,O,편안,O,한,O,내,O,가,O,좋,O,아요,O,.,O,,,,,,,,,,,,,,
아침,B-KEY,마다,O,밥상,B-KEY,차리,O,던,O,어머니,B-KEY,모습,O,이,O,아직도,O,저,O,를,O,이끌,O,어요,O,.,O,,,,,,,,,,,,,,,,,,,,,,,,,,
하늘,B-KEY,한,O,번,O,쳐다보,O,며,O,지나,O,간다,O,속삭이,O,던,O,습관,B-KEY,덕,O,에,O,견뎠,O,어요,O,.,O,,,,,,,,,,,,,,,,,,,,,,,,
말,B-KEY,아끼,O,고,O,",",O,따뜻,B-KEY,하,O,게,O,말,B-KEY,하,O,라는,O,말,O,오래,O,도록,O,새겼,O,으면,O,해,O,요,O,.,O,,,,,,,,,,,,,,,,,,
짜증,B-KEY,낸,O,날,O,아버지,B-KEY,떠나,O,시어서,O,",",O,이후,O,론,O,늘,O,말,O,조심,O,하,O,게,O,됐,O,죠,O,.,O,,,,,,,,,,,,,,,,,,,,
잘,O,웃,O,고,O,잘,O,자,O,는,O,게,O,행복,B-KEY,이,O,죠,O,.,O,성공,O,보다,O,따뜻,B-KEY,한,O,마음,B-KEY,이,O,중요,O,해요,O,.,O,,,,,,,,,,,,,,
남,O,눈치,O,말,O,"고,",O,천천,O,히,O,걷,O,어도,O,자신,B-KEY,만,O,의,O,길,B-KEY,을,O,가,O,라,O,했,O,어요,O,.,O,,,,,,,,,,,,,,,,,,
자존심,O,은,O,품속,O,에,O,넣,O,고,O,",",O,겸손,B-KEY,은,O,얼굴,B-KEY,에,O,드러내,O,며,O,살,O,았,O,어요,O,.,O,,,,,,,,,,,,,,,,,,,,
