남편,B-KEY,수술실,B-KEY,앞,O,의자,B-KEY,에서,O,뜬눈,O,으로,O,밤새,O,며,O,살아있,O,음,O,의,O,고마움,O,을,O,배웠,O,어요,O,.,O,,,,,,,,,,
식사,B-KEY,시간,O,에서,O,꼭,O,식탁,B-KEY,에,O,모이,O,자고,O,했,O,어요,O,.,O,그,O,게,O,우리,O,집,O,의,O,약속,B-KEY,이,O,었,O,죠,O,.,O,,
도시락,B-KEY,에,O,메추리알,B-KEY,두,O,알,O,넣,O,어준,O,"날,",O,아이,B-KEY,가,O,고맙,O,다며,O,안,O,기던,O,모습,O,이,O,아직,O,도,O,따뜻,O,해요,O,,,,
반찬,B-KEY,없이,O,흰,O,밥,B-KEY,만,O,줘,O,도,O,잘,O,먹,O,던,O,아이,B-KEY,들,O,웃음,B-KEY,이,O,날,O,살렸,O,어요,O,.,O,,,,,,,,
코로나,O,때,O,손주,B-KEY,가,O,영상,B-KEY,통화,B-KEY,로,O,할머니,O,건강,O,해,O,?,O,묻,O,던,O,그,O,한,O,마디,O,에,O,눈물,O,이,O,났,O,죠,O,.,O
천,B-KEY,조각,B-KEY,이어,O,붙이,O,며,O,조용히,O,라디오,B-KEY,듣,O,는,O,시간,O,이,O,참,O,좋,O,았,O,어요,O,.,O,,,,,,,,,,,,
빌린,B-KEY,건,O,바로,O,돌려주고,B-KEY,",",O,받은,O,정,B-KEY,은,O,잊지,O,않,O,는,O,거,O,요,O,.,O,,,,,,,,,,,,,,,,
병원,B-KEY,침대,B-KEY,에,O,눕,O,니,O,모든,O,게,O,무용지물,O,이,O,었,O,죠,O,.,O,건강,B-KEY,이,O,전부,O,예요,O,.,O,,,,,,,,,,
손주,B-KEY,들,O,이,O,자라,O,서,O,도,O,제,O,이름,B-KEY,과,O,목소리,B-KEY,를,O,기억,B-KEY,해,O,주,O,면,O,더,O,바랄,O,게,O,없,O,어요,O,.,O,,
새벽,B-KEY,마다,O,오늘,O,도,O,살,O,아내,O,자,O,중얼거리,B-KEY,"며,",O,스스로,O,를,O,붙들,O,었,O,어요.,O,,,,,,,,,,,,,,,,
