결혼,B-KEY,하,O,기,O,전,O,마지막,O,여름,B-KEY,에,O,부모님,B-KEY,께서,O,절,O,끌,O,어,O,안,O,고,O,어렸,O,을,O,때,O,추억,O,을,O,하나,O,씩,O,짚,O,어,O,주,O,시,O,었,O,던,O,대화,B-KEY,가,O,기억,O,나,O,요,O,.,O,,,,,,,,,,,,,,
가족,B-KEY,네,O,명,O,이,O,속초,O,바다,B-KEY,에서,O,찍,O,은,O,사진,B-KEY,이,O,있,O,는데,O,지금,O,까지,O,찍,O,었,O,던,O,사진,B-KEY,중,O,가장,O,환하,O,게,O,웃,O,고,O,있,O,어서,O,아직,O,도,O,가장,O,좋,,아,O,하,O,면서,O,도,O,기억,O,에,O,남,O,아요,O,.,O
손자,B-KEY,들,O,방학,B-KEY,때,O,우리,O,집,B-KEY,에서,O,빙수,B-KEY,를,O,직접,O,만들,O,어,O,먹,O,었,O,는데,O,정말,O,좋,O,았,O,어요,O,.,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
남편,B-KEY,을,O,처음,O,데이트,B-KEY,했,O,던,O,단풍,B-KEY,나무,O,앞,O,길,B-KEY,이,O,생각,O,나네요,O,.,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
남편,B-KEY,과,O,처음,O,데이트,B-KEY,하,O,면서,O,단풍나무,B-KEY,앞,O,길,O,을,O,걸,O,었,O,는데,O,정말,O,설렜,O,어요,O,.,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
남편,B-KEY,은,O,회사,B-KEY,가,O,고,O,딸,B-KEY,",",O,아들,B-KEY,은,O,학교,B-KEY,나,O,학원,B-KEY,에,O,바빠,O,서,O,집,O,에,O,없,O,는,O,가을,O,시험,B-KEY,기간,B-KEY,이,O,외로웠,O,었,O,죠,O,.,O,,,,,,,,,,,,,,,,,,,,,,,,,,
어머니,B-KEY,께서,O,몸,O,이,O,약,O,하,O,시,O,어서,O,돌아가,O,시,O,기,O,전,O,에,O,바람,B-KEY,이,O,불,O,면,O,많이,O,추워,B-KEY,하,O,시,O,어요,O,.,O,그래서,O,바람,B-KEY,이,O,불,O,면,O,어머니,B-KEY,가,O,더,O,그립,O,네,O,요,O,.,O,,,,,,,,,,
딸,B-KEY,임신했을,O,때,O,태교,B-KEY,로,O,편지,B-KEY,를,O,잠깐,O,썼,O,는데,O,그,O,게,O,가을,B-KEY,이,O,네요,O,.,O,편지,B-KEY,는,O,딸,B-KEY,아,O,",",O,어서,O,태어나,O,서,O,엄마,O,랑,O,단풍,B-KEY,구경,B-KEY,하,O,자,O,처럼,O,간단,O,한,O,내용,O,이,O,에요,O,.,O,,,,,,
책,B-KEY,을,O,별,O,로,O,안,O,좋,O,아,O,하,O,지만,O,한강,O,작가,B-KEY,님,O,의,O,노벨상,O,이후,O,에,O,소년,O,이,I-OBJ,오,O,ㄴ다,O,를,O,읽,O,었,O,어요,O,.,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
변진섭,O,의,O,그대,O,내,O,게,O,다시,O,.,O,남편,B-KEY,이,O,좋아,O,하,O,는,O,곡,B-KEY,이,O,데,O,남편,B-KEY,과,O,싸우,O,고,O,화해,B-KEY,할,O,때,O,마다,O,남편,B-KEY,이,O,들려,O,줬,O,어요,O,.,O,,,,,,,,,,,,,,,,,,,,,,
