매주,O,화요일,O,마다,O,갔,O,던,O,동네,B-KEY,재래,B-KEY,시장,I-KEY,에서,O,떡,B-KEY,집,I-KEY,아주머니,B-KEY,가,O,반겨,O,줬,O,어요,O,.,O,,,,,,,,
이,O,문,O,세,O,의,O,옛,O,사랑,O,을,O,라디오,B-KEY,로,O,듣,O,으며,O,빨래,B-KEY,개,O,던,O,시간,O,이,O,그리워,O,요,O,.,O,,,,
일요일,O,저녁,B-KEY,마다,O,TV,B-KEY,보,O,며,O,김치,B-KEY,전,I-KEY,부치,O,어,O,먹,O,던,O,시간,O,이,O,떠올라,O,요,O,.,O,,,,,,,,
옆,B-KEY,집,I-KEY,숙,O,자,O,언,B-KEY,니,I-KEY,늘,O,앞,O,치,O,마,O,두르,O,고,O,마당,B-KEY,에,O,쪼그려,O,앉,O,아,O,있,O,었,O,죠,O,.,O
수예방,B-KEY,에서,O,배우,O,ㄴ,O,프랑스,B-KEY,자수,B-KEY,를,O,저녁,O,마다,O,베,B-KEY,갯잇,I-KEY,에,O,놓,O,았,O,어요,O,.,O,,,,,,,,,,
나무,O,손잡이,O,달린,O,다리미,B-KEY,로,O,남편,B-KEY,와이셔츠,B-KEY,를,O,정성껏,O,다렸,O,죠,O,.,O,,,,,,,,,,,,,,,,,,
설날,B-KEY,아침,O,",",O,떡,B-KEY,국,I-KEY,끓이,O,며,O,아이,O,들,O,이,O,줄,O,지,O,어,O,큰절,B-KEY,하,,던,O,장면,O,이,O,선,O,해요,O,.,O
철쭉,B-KEY,핀,O,봄,B-KEY,"날,",O,동네,O,뒷,O,산,B-KEY,오르,O,던,O,길,O,이,O,아직,O,도,O,선명,O,해요.,,,,,,,,,,,,,
분홍색,O,꽃,B-KEY,무늬,O,앞,B-KEY,치마,I-KEY,를,O,매일,O,입,O,고,O,부엌,B-KEY,에,O,서,O,있,O,었,O,어요,,.,O,,,,,,,,,,
김장,B-KEY,땐,O,늘,O,배추,B-KEY,씻,O,는,O,걸,O,맡,O,아서,O,손,O,이,O,불,O,었,O,던,O,기억,,이,O,나,O,요,O,.,O,,,,
