봄,B-KEY,에,O,는,O,가족,B-KEY,과,O,항상,O,벚꽃,B-KEY,명소,B-KEY,로,O,유명,O,한,O,곳,O,들,O,을,O,하나,O,씩,O,찾,O,아,O,갔,O,던,O,기억,O,이,O,나,O,요,O,.,O,가족,B-KEY,과,O,벚꽃,B-KEY,구경,O,도,O,하,O,고,O,사진,O,도,O,찍,O,으면서,O,매년,O,새로운,O,벚꽃,O,추억,O,을,O,수집,O,했,O,죠,O,.,O
마지막,O,으로,O,보,O,ㄴ,O,건,O,작년,O,4월,B-KEY,이,O,고,O,남편,B-KEY,과,O,함께,O,하,O,았,O,어요,O,.,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
둘째,B-KEY,가,O,태어나,O,고,O,가족,B-KEY,4,O,명,O,이,O,처음,O,으로,O,함께,O,벚꽃,B-KEY,을,,보,O,러,O,갔,O,을,O,때,O,요,O,.,O,온전,O,한,O,가족,B-KEY,이,O,완성,O,되,O,ㄴ,O,느낌,O,이,O,라,O,참,O,행복,O,하,O,았,O,어요,O,.,O,,,,,,,,,,,,,,,,,,
건강,O,을,O,위해,O,남편,B-KEY,과,O,꾸준,O,하,O,게,O,한강,B-KEY,을,O,산책,B-KEY,하,O,는데,O,봄,B-KEY,에,O,불어,O,오,O,는,O,바람,O,은,O,확실,O,하,O,게,O,봄바람,O,으로,O,느껴,O,지,O,는,O,것,O,같,O,아요,O,.,O,,,,,,,,,,,,,,,,,,,,,,,,,,
꽃,B-KEY,이,O,잔뜩,O,핀,O,곳,O,에서,O,맡,O,을,O,수,O,있,O,는,O,봄,B-KEY,꽃,B-KEY,향기,B-KEY,요,O,.,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
동네,B-KEY,공원,B-KEY,으로,O,소풍,B-KEY,을,O,갔,O,는데,O,어린,O,딸,B-KEY,이,O,네잎클로버,B-KEY,를,O,찾,O,아서,O,저,O,한테,O,몰래,O,줬,O,던,O,기억,O,이,O,나,O,요,O,.,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
아들,B-KEY,이,O,유치원,B-KEY,에서,O,합창,B-KEY,대회,B-KEY,로,O,불렀,O,던,O,벚꽃,O,엔딩,O,이,O,요,O,.,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
네,O,.,O,계곡,B-KEY,에서,O,어머니,B-KEY,한테,O,수영,B-KEY,을,O,처음,O,배웠,O,어요,O,.,O,물,O,이,O,참,O,깨끗,O,했,O,었,O,죠,O,.,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
우리,O,가족,B-KEY,은,O,모두,O,수박,B-KEY,을,O,좋아,O,하,O,는데,O,여름,B-KEY,밤,B-KEY,에,O,수박,B-KEY,먹,O,으며,O,달,B-KEY,보,O,던,O,게,O,좋,O,았,O,어요,O,.,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
남편,O,이,O,급하,O,게,O,회사,O,일,O,이,O,생겨서,O,혼자,B-KEY,"딸,",B-KEY,아들,B-KEY,데리,O,고,O,한여름,B-KEY,에,O,롯데월드,B-KEY,를,O,돌아다녔,O,는데,O,셋,O,다,O,열사병,B-KEY,초기,O,로,O,고생,O,했,O,죠.,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
