초등학생,B-KEY,손주,B-KEY,들,O,과,O,환경,B-KEY,포스터,B-KEY,를,O,그릴,O,때,O,",",O,나무,O,를,O,지키,O,자,O,는,O,말,O,을,O,그림,O,속,O,에,O,담,O,았,O,죠,O,.,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
김환기,O,의,O,점,B-KEY,들,O,이,O,가득,O,한,O,그림,B-KEY,보,O,면,O,",",O,고요,O,한,O,겨울,B-KEY,저녁,B-KEY,창,B-KEY,밖,O,을,O,보,O,던,O,내,O,가,O,떠오,O,라요,O,.,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
바다,B-KEY,에,O,놀,O,러,O,가,O,서,O,낚시,B-KEY,하,O,고,O,술래,B-KEY,잡,I-KEY,기,I-KEY,한,O,게,O,가장,O,기억,O,에,O,남,O,아,O,요,O,.,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
매연,B-KEY,많,O,은,O,시내,B-KEY,에,O,애,B-KEY,들,I-KEY,들쳐,O,업,O,고,O,가,O,게,O,일,O,하,O,러,O,갔,O,던,O,기억,O,이,O,있,O,어요,O,.,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
비행기,B-KEY,탔,O,을,O,때,O,제일,O,신기,O,했,O,어요,O,.,O,창,B-KEY,밖,B-KEY,으로,O,구름,B-KEY,이랑,O,조그매,O,진,O,마을,B-KEY,이,O,보이,O,는데,O,그,O,게,O,엄청,O,신기,O,했,O,어요,O,.,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,O,명,O,이,O,서,O,여행,B-KEY,을,O,갔,O,는데,O,",",O,많이,O,걸,O,을,O,줄,O,모르,O,고,O,다,O,들,O,구두,B-KEY,를,O,신,O,고,O,갔,O,어요,O,.,O,결국,O,구두,B-KEY,굽,B-KEY,을,O,떼,O,버렸,O,지요,O,.,O,사람,O,들,O,이,O,신기,O,하,O,게,O,쳐다보,O,더군,O,요,O,.,O
손주,B-KEY,손녀,B-KEY,들,O,이,O,랑,O,갔,O,던,O,계곡,B-KEY,을,O,또,O,가,O,고,O,싶,O,네,O,..,O,평상,B-KEY,에,O,앉,O,아서,O,느긋,O,하,O,게,O,수박,B-KEY,먹,O,고,O,애,O,들,O,물놀이,B-KEY,하는,O,거,O,보,O,는,O,게,O,좋,O,았,O,어요,O,.,O,,,,,,,,,,
온천,B-KEY,을,O,찾,O,아,O,일본,B-KEY,까지,O,갔,O,었,O,는데,O,",",O,거기,O,서,O,원숭이,B-KEY,가,O,내,O,옆,O,에서,O,떨어지,O,지,O,않,O,더라구요,O,.,O,귀여워서,O,쓰다듬,O,어,O,줬,O,지,O,.,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,
뭐든지,O,안,O,겪,O,어,O,보,O,면,O,모르,O,는,O,거,O,에요,O,.,O,여권,B-KEY,을,O,잃,O,어,O,버렸,O,을,O,때,O,대사관,B-KEY,가,O,서,O,거기,O,직원,B-KEY,이,O,랑,O,얼레벌레,O,해결,O,했,O,던,O,게,O,기억,O,이,O,나,O,네,O,.,O,,,,,,,,,,,,,,
손주,B-KEY,들,O,뭐,O,하,O,면서,O,노,O,나,O,구경,O,하,O,는,O,게,O,제일,O,재밌,O,었,O,어요,O,.,O,평상,B-KEY,에,O,앉,O,아서,O,가만히,O,보,O,고,O,있,O,으면,O,너무,O,좋,O,았,O,지요,O,.,O,,,,,,,,,,,,,,,,,,,,,,,,
