종로,O,찻집,B-KEY,에서,O,유자차,B-KEY,마시,O,며,O,다이어리,B-KEY,꾸미,O,던,O,날,O,들,O,이,O,그리워요,O,,,,,,,,,,,,,,,,
아이,B-KEY,들,O,다,O,학교,B-KEY,간,O,뒤,O,보리차,B-KEY,마시,O,며,O,라디오,B-KEY,듣,O,던,O,시간,O,이,O,었,O,죠,O,.,O,,,,,,,,
매주,O,토요일,O,아침,B-KEY,엔,O,다,O,같이,O,창틀,B-KEY,닦,O,고,O,이불,B-KEY,털,O,던,O,기억,O,이,O,나,O,요,O,.,O,,,,,,,,
작,O,은,O,거울,B-KEY,이,O,랑,O,머리,O,핀,B-KEY,",",O,그리고,O,항상,O,접,O,은,O,손수건,B-KEY,이,O,있,O,었,O,죠,O,.,O,,,,,,
빨래,B-KEY,널린,O,옆집,O,창문,B-KEY,",",O,쌀집,O,아저씨,O,자전거,B-KEY,가,O,늘,O,지나갔,O,어요,O,.,O,,,,,,,,,,,,,,,,
매일,O,아침,O,여성,O,동아,O,잡지,B-KEY,를,O,펼치,O,어서,O,요리,B-KEY,코너,B-KEY,를,O,먼저,O,보,O,았,O,어요,O,.,O,,,,,,,,,,
전화,B-KEY,받,O,고,O,",",O,서류,B-KEY,정리,O,하,O,고,O,",",O,점심,O,도시락,B-KEY,먹,O,던,O,사무실,B-KEY,이,O,떠오르,O,아요,O,.,O,,,,,,
부엌,B-KEY,옆,O,창가,B-KEY,에,O,작,O,은,O,나무,B-KEY,의자,B-KEY,가,O,있,O,어,O,거기,O,앉,O,아,O,쉬,O,곤,O,했,O,어요,O,.,O,,,,
여름,B-KEY,밤,O,에,O,마당,B-KEY,에,O,돗자리,B-KEY,깔,O,고,O,부채질,B-KEY,하,O,며,O,수박,B-KEY,먹,O,던,O,기억,O,이,O,나,O,요,O,.,O,,,,
겨울,B-KEY,엔,O,양말,B-KEY,꿰,O,매,O,기,O,",",O,여름,B-KEY,엔,O,된장,B-KEY,햇,O,볕,O,에,O,말리,O,기,O,꼭,O,했,O,죠,O,.,O,,,,
아이,B-KEY,들,O,자,O,는,O,방,B-KEY,확인,O,하,O,고,O,",",O,달력,B-KEY,에,O,X,O,표시,O,하,O,고,O,자리,O,에,O,눕,O,었,O,어요,O,.,O
