"한여름에 무거운 책들 들고 다니며 일기 쓰는 게 제일 힘들었어요. 땡볕 아래에서 생각하는 것도 어렵고, 매일 쓰는 게 지겨웠죠."
눈 많이 온 날 친구들이랑 눈싸움 하느라 늦을 뻔한 적 있어요. 선생님께 혼났지만 정말 재밌었죠.
"처음 발표할 때 손이 떨리고 목소리가 작아져서 당황했지만, 끝나고 나니 뿌듯했어요."
"공부가 쉽진 않았지만, 포기하지 않고 꾸준히 하니까 조금씩 나아진다는 걸 배웠어요. 그게 가장 큰 교훈이었죠."
"아이들이 숙제할 때 옆에서 같이 문제를 생각해주고, 포기하지 말라고 조용히 응원해줬던 기억이 있어요."
"“작은 노력들이 모여 큰 꿈을 이룬다”는 말씀을 하셨는데, 그 말씀이 아직도 마음에 남아 있어요."
"네, 밤늦게까지 책 보다 결국 책상에 머리 박고 잠든 적이 한두 번이 아니었어요. 참 힘들었죠."
친구들이랑 나란히 앉아 바깥 풍경 보며 조용히 이야기하는 걸 좋아했어요. 소소한 시간이 참 좋았죠.
"네, 봄날에 교실 대신 운동장에서 국어 수업을 했던 적이 있는데, 신선한 공기와 함께라서 기억에 오래 남아요."
한글 맞춤법이나 기초 문법은 아직도 잊지 않고 있어요. 그게 글 쓸 때 큰 도움이 됐죠.
