봄이 되면 꼭 떠오르는 장소가 있나요? 거기서 무엇을 했나요?,
벚꽃을 마지막으로 본 건 언제였고 누구와 함께였나요?,
봄에 누군가와 함께한 기억 중 가장 행복했던 순간은?,
봄바람을 느끼며 걷던 기억을 알려줄 수 있나요?,
봄 향기라고 하면 어떤 장면이 떠오르나요?,
봄 소풍 혹은 나들이에서 있었던 특별한 일은?,
봄에 들었던 추억이 묻어 있는 곡은 뭔가요?,
어린 시절 물놀이하거나 계곡에 간 기억이 있나요?,
여름에 친구 혹은 가족과 밤늦게까지 놀았던 기억이 있나요?,
폭염 속에서 고생했던 경험이 있다면?,
여름밤에 들었던 잊을 수 없는 대화가 있나요?,
여름휴가 중 가장 기억에 남았던 사진을 설명해 주실 수 있나요?,
한여름에 먹었던 최고의 음식은?,
가을 하면 떠오르는 풍경이 있나요?,
단풍을 보며 걸었던 기억이 있나요?,
가을에 유독 외로웠던 때가 있었나요?,
쌀쌀한 바람에 누군가가 그리워졌던 순간은?,
가을에 쓴 편지나 일기가 있나요? 저에게 들려주세요.,
독서의 계절에서 기억에 남는 책이 있나요? 그 책은 어떻게 접했나요?,
가을 노래 중 과거를 떠올리게 하는 곡이 있다면? 어떤 과거인가요?,
"가을 밤, 혼자 걷다가 생각이 많아졌던 적이 있나요?",
첫눈이 왔을 때 특별한 일이 있었나요?,
겨울에 가장 기억에 남는 선물은?,
눈이 내리면 가장 기억에 남는 추억이 무엇인가요?,
추운 날씨에도 따뜻했던 기억이 있다면?,
아이들이 처음 ‘엄마(아빠)’라고 불렀을 때 기억나세요? 어떠셨나요?,
부모님과 함께한 마지막 여행이나 외출은 언제였나요?,
가장 마음 깊이 남아 있는 가족과의 추억은?,
배우자(혹은 연인)와 처음 진지한 대화를 나눴던 때는?,
가장 오랜 친구와 마지막으로 만난 건 언제였나요?,
손주가 처음 태어났을 때 어떤 생각이 들었나요?,
누군가와 크게 화해하거나 용서했던 기억이 있나요?,
지금까지 살았던 집들 중 가장 애착이 갔던 집은?,
이사할 때 가장 감정이 북받쳤던 순간은 언제였나요?,
마당이나 발코니에서 기억에 남는 풍경이 있나요?,
매일 아침(또는 저녁)에 꼭 하던 루틴이 있었나요?,
아끼던 물건 하나가 망가졌을 때의 기억은?,
처음 해외여행을 떠났던 기억이 나시나요?,
혼자 떠났던 가장 인상 깊은 외출이나 여행은?,
차 안에서 흘러나오던 음악과 함께 기억에 남는 드라이브는?,
특정 계절이 되면 떠오르는 여행지가 있나요?,
내 인생에서 가장 큰 변화는 언제였나요?,
"어떤 시절에 “아, 지금이 참 좋다”라고 느꼈나요?", 吏湲덉씠 李?醫뗫떎?앸씪怨??먭펷?섏슂?
예상치 못하게 눈물이 났던 순간은 언제였나요?,
지나고 나서야 그 소중함을 깨달았던 사람이나 순간이 있나요?,
처음 ‘나이 든다’고 느낀 때는 언제였나요?,
가장 후회 없이 결정했던 일이 있다면?,
집 안에 오래도록 두고 있는 물건에는 어떤 사연이 있나요?,
젊었을 때 좋아했던 음식이나 장소 중 지금도 여전히 좋아하는 것은?,
혼자 있을 때 가장 많이 떠오르는 장면은?,
지금도 꿈에서 자주 나오는 예전의 모습이나 상황이 있다면?,
가족끼리 모이면 꼭 먹는 음식이 있나요?,
명절 때 가장 기다려졌던 음식은 무엇이었나요?,
자녀에게 처음 만들어준 음식은 무엇이었나요?,
집밥이 유난히 그리웠던 시절이 있었나요?,
여행 중에 먹은 음식 중 다시 먹고 싶은 게 있나요?,
비 오는 날 꼭 생각나는 음식이 있다면?,
슬퍼하며 먹었던 음식 중 기억에 남는 건?,
기쁜 날 스스로에게 선물처럼 사 먹는 음식은?,
누군가에게 대접했는데 특히 반응이 좋았던 음식은?,
고생 끝에 먹었던 음식 중 가장 맛있었던 건?,
냄새만 맡아도 어린 시절이 떠오르는 음식은?,
"배고파서 먹은 게 아니라, 위로받고 싶어서 먹은 음식이 있나요?",
예전엔 싫어했지만 나이 들어 좋아하게 된 음식이 있다면?,
젊었을 때에 비해 입맛이 달라졌다고 느끼는 순간은?,
한때 푹 빠져 자주 먹었지만 지금은 잘 안 먹는 음식은?,
먹고는 싶지만 지금은 사라졌거나 구하기 어려운 음식이 있나요?,
특별히 음식에 대해 까다로웠던 시절이 있었나요?,
누군가에게 음식을 만들어주며 느꼈던 감정은?,
누군가가 해준 음식 중 지금도 잊히지 않는 한 끼가 있다면?,
음식을 나누며 싸웠던 혹은 화해했던 경험이 있나요?,
마지막 식사라면 무엇을 먹고 싶으신가요?,
부모님과 가장 깊은 대화를 나눴던 기억은 무엇인나요?,
"형제자매 중 가장 의지가 됐던 사람은 누구였고, 왜였나요?",
자녀와의 관계가 가장 가까웠던 시기는 언제였나요?,
가족끼리 함께했던 일 중 지금도 자주 떠오르는 장면은?,
가족과의 갈등이 오히려 관계를 더 돈독하게 만든 적이 있나요?,
"가장 오랫동안 이어져 온 친구가 있다면, 어떤 인연이었나요?",
친구와 크게 다투고 다시 화해했던 경험이 있다면?,
친구를 통해 삶에 변경점이 생긴 부분은 어떤 것인가요?,
지인 중 인간적으로 가장 존경했던 사람은 누구였나요?,
일하다가 감정이 북받쳐 눈물 흘렸던 적이 있었나요?,
퇴직한 뒤에 인간관계에서 느낀 가장 큰 변화는 무엇이었나요?,
처음으로 리더의 역할을 맡았을 때의 기억을 알려주세요.,
연락이 끊겼지만 아직도 안부가 궁금한 사람이 있나요? 어떤 사람인가요?,
오래된 친구나 인연을 우연히 다시 만났던 적이 있나요?,
어떤 이별이 가장 아프게 기억에 남아 있나요?,
